Modelisation	Energy	Standard_deviation
3 0.881 0.047
3 0.765 0.047
3 0.838 0.047
3 0.784 0.047
3 0.857 0.047
3 0.892 0.047
3 0.779 0.047
3 0.773 0.047
3 0.807 0.047
3 0.821 0.047
3 0.876 0.047
3 0.857 0.047
3 0.787 0.047
3 0.896 0.047
3 0.784 0.047
3 0.879 0.047
3 0.746 0.047
3 0.896 0.047
3 0.756 0.047
3 0.795 0.047
3 0.804 0.047
3 0.851 0.047
3 0.863 0.047
3 0.840 0.047
3 0.747 0.047
3 0.808 0.047
3 0.782 0.047
3 0.799 0.047
3 0.847 0.047
3 0.856 0.047
3 0.803 0.047
3 0.816 0.047
3 0.915 0.047
3 0.795 0.047
3 0.746 0.047
3 0.790 0.047
3 0.867 0.047
3 0.856 0.047
3 0.842 0.047
3 0.871 0.047
3 0.823 0.047
3 0.883 0.047
3 0.820 0.047
3 0.940 0.047
3 0.894 0.047
3 0.845 0.047
3 0.807 0.047
3 0.828 0.047
3 0.813 0.047
3 0.755 0.047
3 0.897 0.047
3 0.878 0.047
3 0.877 0.047
3 0.805 0.047
3 0.859 0.047
3 0.838 0.047
3 0.825 0.047
3 0.883 0.047
3 0.858 0.047
3 0.806 0.047
3 0.793 0.047
3 0.829 0.047
3 0.804 0.047
3 0.841 0.047
3 0.804 0.047
3 0.859 0.047
3 0.797 0.047
3 0.802 0.047
3 0.891 0.047
3 0.722 0.047
3 0.888 0.047
3 0.852 0.047
3 0.827 0.047
3 0.799 0.047
3 0.747 0.047
3 0.760 0.047
3 0.753 0.047
3 0.851 0.047
3 0.780 0.047
3 0.865 0.047
3 0.728 0.047
3 0.791 0.047
5 1.274 0.029
5 1.333 0.029
5 1.293 0.029
5 1.261 0.029
5 1.350 0.029
5 1.286 0.029
5 1.327 0.029
5 1.362 0.029
5 1.294 0.029
5 1.315 0.029
5 1.335 0.029
5 1.254 0.029
5 1.329 0.029
5 1.314 0.029
5 1.282 0.029
5 1.276 0.029
5 1.308 0.029
5 1.295 0.029
5 1.294 0.029
5 1.335 0.029
5 1.350 0.029
5 1.324 0.029
5 1.314 0.029
5 1.316 0.029
5 1.314 0.029
5 1.306 0.029
5 1.304 0.029
5 1.318 0.029
5 1.329 0.029
5 1.273 0.029
5 1.313 0.029
5 1.295 0.029
5 1.310 0.029
5 1.329 0.029
5 1.345 0.029
5 1.307 0.029
5 1.377 0.029
5 1.335 0.029
5 1.326 0.029
5 1.354 0.029
5 1.365 0.029
5 1.317 0.029
5 1.253 0.029
5 1.306 0.029
5 1.302 0.029
5 1.314 0.029
5 1.294 0.029
5 1.306 0.029
5 1.248 0.029
5 1.276 0.029
5 1.320 0.029
5 1.303 0.029
5 1.319 0.029
5 1.322 0.029
5 1.305 0.029
5 1.274 0.029
5 1.306 0.029
5 1.284 0.029
5 1.278 0.029
5 1.311 0.029
5 1.315 0.029
5 1.308 0.029
5 1.360 0.029
5 1.318 0.029
5 1.273 0.029
5 1.286 0.029
5 1.266 0.029
5 1.302 0.029
5 1.334 0.029
5 1.304 0.029
5 1.328 0.029
5 1.297 0.029
5 1.268 0.029
5 1.322 0.029
5 1.300 0.029
5 1.303 0.029
5 1.339 0.029
5 1.315 0.029
5 1.316 0.029
5 1.287 0.029
5 1.331 0.029
5 1.401 0.029
5 1.325 0.029
5 1.320 0.029
5 1.288 0.029
5 1.289 0.029
5 1.355 0.029
5 1.345 0.029
5 1.325 0.029
5 1.343 0.029
5 1.279 0.029
5 1.302 0.029
5 1.260 0.029
5 1.291 0.029
5 1.318 0.029
5 1.330 0.029
5 1.339 0.029
5 1.251 0.029
5 1.306 0.029
5 1.275 0.029
